2025-05-07 13:13:15,834 [ERROR] 🚀 Бот запущен.
2025-05-07 20:54:17,474 [ERROR] 🚀 Бот запущен.
2025-05-07 21:06:25,585 [ERROR] 🚀 Бот запущен.
2025-05-07 21:08:42,910 [ERROR] 🚀 Бот запущен.
2025-05-07 21:22:59,371 [ERROR] 🚀 Бот запущен.
2025-05-08 10:19:44,380 [ERROR] 🚀 Бот запущен.
2025-05-08 10:19:44,381 [INFO] 🚀 Бот запущен.
2025-05-09 12:09:27,680 [INFO] 🚀 Бот запущен.
2025-05-09 12:09:27,681 [INFO] 🚀 Бот запущен.
2025-05-09 15:30:13,878 [INFO] 🚀 Бот запущен.
2025-05-09 22:11:23,392 [INFO] 🚀 Бот запущен.
2025-05-09 22:11:26,613 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:11:59,489 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:02,097 [ERROR] Неверный объем: 1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:12:21,824 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:24,489 [ERROR] Неверный объем: 1.0 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:12:51,869 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:54,463 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:13:24,714 [INFO] 🚀 Бот запущен.
2025-05-09 22:13:27,440 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:14:33,775 [INFO] 🚀 Бот запущен.
2025-05-09 22:14:34,188 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:14:57,871 [INFO] 🚀 Бот запущен.
2025-05-09 22:14:58,177 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:18:41,190 [INFO] 🚀 Бот запущен.
2025-05-09 22:18:41,569 [INFO] Сделка открыта: BUY EURUSD по цене 1.12541
2025-05-12 19:37:59,769 [INFO] 🚀 Бот запущен.
2025-05-12 19:38:03,941 [INFO] Сделка открыта: BUY EURUSD по цене 1.1076
2025-05-12 19:40:53,316 [INFO] 🚀 Бот запущен.
2025-05-14 17:24:33,289 [INFO] 🚀 Бот запущен.
2025-05-14 17:24:33,592 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:24:43,592 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:24:53,593 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:25:03,594 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:31:31,156 [INFO] 🚀 Бот запущен.
2025-05-14 17:31:31,454 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:31:41,454 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:31:51,455 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:01,456 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:11,456 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:21,457 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:31,457 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:41,458 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:32:51,459 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:01,460 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:11,461 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:21,461 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:31,462 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:41,463 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:33:51,464 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:34:01,464 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:34:11,466 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:34:21,466 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:34:31,467 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
